filename,uses_bigint_in_reflection,iife_based_control_flow,invalid_api_operand_type,recursive_iife_depth,uses_reflection_with_bigint,crash_prone_due_to_iife_and_bigint,uses_finalization_registry,registers_gced_object,assigns_to_cleanup_token,cleanup_token_mutated_after_register,gc_after_mutating_key,looped_token_mutation,finalization_registry_cleanup_triggered,token_used_as_key_then_invalidated,uses_jit_optimization_intrinsics,function_called_with_multiple_type_signatures,parameter_read_after_return,optimized_function_with_branching_on_input_type,returns_param_directly,uses_wasm_module_builder,uses_ref_cast_or_call_ref,webassembly_function_used_as_import,uses_js_wasm_signature_linking,calls_exported_wasm_function_with_constant,enables_jspi_features,manual_wasm_table_usage,uses_global_variable_in_optimized_function,loop_nested_switch_on_scalar,scalar_assigned_in_switch_case,no_object_allocation_in_optimized_function,optimizes_control_flow_only,uses_webassembly_promising,uses_embedded_wasm_binary,imports_js_function_into_wasm,calls_promising_export_without_signature_info,wasm_exported_function_called_directly,uses_proxy_on_regex_like_object,wasm_imported_function_is_not_callable,wasm_import_used_as_constructor,calls_wasm_export_twice_with_same_input,wraps_wasm_export_with_js_api,calls_wrapped_export_directly,lacks_signature_metadata_for_wrap,wraps_export_without_type_check,calls_exported_function_twice,wraps_wasm_export_in_js_function,wrapped_export_invoked_as_function,wraps_export_without_signature_metadata,has_wasm,wasm_bytes_len,uses_optimization_directives,wasm_optimized,num_exported_funcs,builtins_declared_count,dynamic_constructor_dispatch,recursive_generator_or_selfcall,enum_then_property_mutation,optimized_function_retaining_GC_sensitive_objects,side_effecting_getter_triggered_by_builtin,getter_defines_mutation,builtin_operation_on_container,uses_eval_or_dynamic_code,recursive_function_self_call,undefined_variable_usage,exception_suppressed_code_depth,calls_eval_inside_loop_or_recursion,flags_indicate_jit_gc_stress,eval_depends_on_runtime_expression,unbounded_control_flow,side_effects_protected_by_try,mutates_core_runtime_structures,uses_dynamic_or_undefined_behavior,uses_gc_or_jit_stress_flags,mutates_state_under_gc_stress,uses_jit_intrinsics,triggers_gc,manipulates_array,uses_try_catch,uses_worker_or_async,uses_reflection,uses_typed_array,allocates_large_array,has_recursive_call,hot_loop_count,nested_loop_or_recursion,function_hotness,type_diversion_var,type_diversion_func_args,object_shape_mutation,array_bounds_manipulation,typedarray_dv_usage,gc_stress_pattern,exception_handling,use_of_proxy_reflect,use_of_eval_function,api_sort_regex_builtin,control_flow_graph_blocks,control_flow_max_nesting,gc_invocations,forced_incremental_gc,allocation_pressure,uses_allow_natives_syntax,has_maglev_or_turbofan_opt,opt_function_with_gc_overlap,circular_reference_detected,deep_object_assign,assignments_to_young_space_objects,missing_write_barrier_patterns,enum_cache_modified_after_optimization,callback_modifies_object_during_enum_loop,object_property_growth_rate,loop_count_high_alloc,function_complexity_score,debugprint_call_count,use_of_uncommon_runtime_hooks,target
memory-resizable-buffer-array-from-grows-detaches.js,False,True,False,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,0,False,False,0,0,False,True,False,False,False,False,False,False,False,False,0,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,0,1,0,1,4,0,0,0,0,0,0,0,0,5,3,0,False,False,True,False,False,False,False,False,False,False,False,False,False,6,0,False,0
memory-resizable-buffer-array-pop-shift.js,False,True,False,4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,0,False,False,0,0,False,True,False,False,False,False,False,False,False,False,0,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,0,0,0,0,1,0,0,0,0,0,0,0,0,2,5,0,False,False,True,False,False,False,False,False,False,False,False,False,False,3,0,False,0
memory-resizable-buffer-array-push-unshift-splice.js,False,True,False,4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,0,False,False,0,0,False,True,False,False,False,False,False,False,False,False,0,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,0,0,0,0,1,0,0,0,0,0,0,0,0,2,5,0,False,False,True,False,False,False,False,False,False,False,False,False,False,3,0,False,0
memory-resizable-buffer-array-slice.js,False,False,False,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,0,False,False,0,0,False,False,False,False,False,False,False,False,False,False,0,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,0,2,0,1,6,0,0,0,0,0,0,0,0,6,4,0,False,False,True,False,False,False,False,False,False,False,False,True,False,4,0,False,0
memory-resizable-buffer-errors.js,False,True,False,5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,0,False,False,1,0,False,True,False,False,False,False,False,False,False,False,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,False,False,False,False,False,False,False,False,False,False,False,False,False,4,0,False,0
memory-size.js,False,True,False,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,True,False,True,True,0,False,False,4,0,False,True,False,False,False,False,False,True,False,False,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,False,False,False,False,False,False,False,False,False,False,False,False,False,6,0,False,0
memory-toresizable-tofixedlength.js,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,0,False,False,0,0,False,False,False,False,False,False,False,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,False,False,False,False,False,False,False,False,False,False,False,False,False,2,0,False,0
memory.js,False,True,False,11,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,0,False,False,0,0,False,True,False,False,False,False,False,False,False,False,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,0,0,0,1,1,2,0,0,1,0,1,0,0,2,4,0,False,False,False,False,False,False,False,False,False,False,False,False,False,10,0,False,0
memory64.js,False,True,False,6,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,True,True,False,True,True,0,False,False,40,0,False,True,False,False,False,False,True,True,True,False,3,False,False,False,True,False,False,True,False,False,False,False,False,True,True,False,True,False,True,0,3,0,1,21,0,22,0,1,1,0,0,0,25,7,0,False,True,False,False,False,False,False,False,False,False,False,False,False,38,0,False,0
memory_1gb_oob.js,False,True,False,3,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,0,False,False,2,0,False,True,False,False,False,False,False,True,False,False,1,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,0,0,2,0,5,0,2,0,0,1,0,0,0,6,4,0,False,False,False,False,False,False,False,False,False,False,False,False,True,3,0,False,0
memory_2gb_oob.js,False,True,False,3,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,0,False,False,2,0,False,True,False,False,False,False,False,True,False,False,1,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,0,0,2,0,5,0,2,0,0,1,0,0,0,6,4,0,False,False,False,False,False,False,False,False,False,False,False,False,True,3,0,False,0
memory_4gb_oob.js,False,True,False,3,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,0,False,False,2,0,False,True,False,False,False,False,False,True,False,False,1,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,0,0,2,0,5,0,2,0,0,1,0,0,0,6,4,0,False,False,False,False,False,False,False,False,False,False,False,False,True,3,0,False,0
messages.js,False,True,False,134,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,0,False,False,0,0,True,True,False,False,False,False,True,True,True,False,1,False,False,False,True,False,False,True,False,False,True,False,True,True,False,True,True,False,True,0,1,0,2,17,6,8,1,1,1,1,1,0,7,2,0,False,True,True,False,False,False,False,True,False,False,False,True,False,149,0,False,0
migrations.js,False,False,False,0,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,0,True,False,0,0,True,False,False,False,False,False,True,True,False,False,1,False,False,False,False,False,False,True,False,False,True,True,False,True,False,False,False,False,False,0,0,0,2,2,7,15,0,1,1,0,0,0,21,3,3,False,True,True,False,False,True,False,True,True,False,False,True,False,67,0,False,0
misc.js,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,0,False,False,0,0,False,False,False,False,False,False,False,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,False,0
mjsunit-assert-equals.js,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,0,False,False,0,0,False,False,False,False,False,False,False,False,False,False,2,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,0,0,0,0,5,0,1,0,1,1,1,0,0,1,3,0,False,True,False,False,False,False,False,True,False,False,False,False,False,9,0,False,0
mjsunit-assertion-error.js,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,0,False,False,0,0,False,False,False,False,False,False,True,True,False,False,8,True,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,False,0,0,0,0,2,0,4,0,0,1,0,1,0,1,3,0,False,False,False,False,False,False,False,False,False,False,False,False,False,8,0,False,0
mjsunit.js,False,False,True,0,True,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,0,False,False,0,0,False,True,False,False,False,False,False,True,True,False,11,True,False,False,True,True,False,True,False,False,True,False,True,True,True,True,True,False,True,0,3,2,1,18,0,13,0,1,1,0,1,0,167,7,0,False,True,True,False,False,False,False,False,False,False,False,False,False,98,0,False,0
mjsunit_numfuzz.js,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,0,False,False,0,0,False,False,False,False,False,False,False,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,False,False,False,False,False,False,False,False,False,False,False,False,False,3,0,False,0
mod-range.js,False,False,False,0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,0,False,False,0,0,False,False,False,False,False,False,False,True,False,False,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,False,False,True,False,False,False,False,False,False,False,False,False,False,4,0,False,0
mod-special-cases.js,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,0,False,False,0,0,False,False,False,False,False,False,False,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,0,0,False,0
mod.js,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,0,False,False,0,0,False,False,False,False,False,False,False,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,1,0,1,0,0,0,0,0,0,3,2,0,False,False,True,False,False,False,False,False,False,False,False,False,False,0,0,False,0
module-memory.js,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,True,False,True,True,0,False,False,8,0,False,False,False,False,False,False,True,True,False,False,0,False,True,False,False,False,False,True,False,False,True,True,False,False,False,False,True,False,False,0,0,0,0,5,0,1,0,0,0,0,0,0,11,4,2,False,False,True,False,False,False,False,False,False,False,False,True,False,7,0,False,0
